2026-09-10 12:45:17 [main] INFO  com.framework.config.ConfigManager - Loading config: src/main/resources/config/config-qa.properties
2026-09-10 12:45:41 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=404, actual=404
2026-09-10 12:45:41 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testGetNonExistingUser
2026-09-10 12:45:41 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testGetUserById
2026-09-10 12:45:41 [main] INFO  com.framework.api.client.RestClient - GET https://reqres.in/api/users/2
2026-09-10 12:45:43 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:43 [main] INFO  com.framework.api.validators.ResponseValidator - Validating 'data.id': expected='2', actual='2'
2026-09-10 12:45:43 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testGetUserById
2026-09-10 12:45:43 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testGetUsersPage2
2026-09-10 12:45:43 [main] INFO  com.framework.api.client.RestClient - GET https://reqres.in/api/users?page=2
2026-09-10 12:45:44 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:44 [main] INFO  com.framework.api.validators.ResponseValidator - Validating 'page': expected='2', actual='2'
2026-09-10 12:45:44 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testGetUsersPage2
2026-09-10 12:45:44 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testPatchUser
2026-09-10 12:45:44 [main] INFO  com.framework.api.client.RestClient - PATCH https://reqres.in/api/users/2
2026-09-10 12:45:51 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:51 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testPatchUser
2026-09-10 12:45:51 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testUpdateUser
2026-09-10 12:45:51 [main] INFO  com.framework.api.client.RestClient - PUT https://reqres.in/api/users/2
2026-09-10 12:45:52 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:52 [main] INFO  com.framework.api.validators.ResponseValidator - Key 'updatedAt' found with value: 2026-09-10T07:15:51.632Z
2026-09-10 12:45:52 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testUpdateUser
2026-09-10 12:45:52 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testLoginMissingPassword
2026-09-10 12:45:52 [main] INFO  com.framework.api.client.RestClient - POST https://reqres.in/api/login
2026-09-10 12:45:52 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=400, actual=400
2026-09-10 12:45:52 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testLoginMissingPassword
2026-09-10 12:45:52 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testRegisterMissingPassword
2026-09-10 12:45:52 [main] INFO  com.framework.api.client.RestClient - POST https://reqres.in/api/register
2026-09-10 12:45:53 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=400, actual=400
2026-09-10 12:45:53 [main] INFO  com.framework.api.validators.ResponseValidator - Validating 'error': expected='Missing password', actual='Missing password'
2026-09-10 12:45:53 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testRegisterMissingPassword
2026-09-10 12:45:53 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testSuccessfulLogin
2026-09-10 12:45:53 [main] INFO  com.framework.api.client.RestClient - POST https://reqres.in/api/login
2026-09-10 12:45:54 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:54 [main] INFO  com.framework.api.validators.ResponseValidator - Key 'token' found with value: QpwL5tke4Pnpja7X4
2026-09-10 12:45:54 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testSuccessfulLogin
2026-09-10 12:45:54 [main] INFO  com.framework.listeners.TestListener - TEST STARTED: testSuccessfulRegister
2026-09-10 12:45:54 [main] INFO  com.framework.api.client.RestClient - POST https://reqres.in/api/register
2026-09-10 12:45:57 [main] INFO  com.framework.api.validators.ResponseValidator - Validating status code: expected=200, actual=200
2026-09-10 12:45:57 [main] INFO  com.framework.api.validators.ResponseValidator - Key 'token' found with value: QpwL5tke4Pnpja7X4
2026-09-10 12:45:57 [main] INFO  com.framework.api.validators.ResponseValidator - Key 'id' found with value: 4
2026-09-10 12:45:57 [main] INFO  com.framework.listeners.TestListener - TEST PASSED: testSuccessfulRegister
2026-09-10 12:45:58 [main] INFO  com.framework.listeners.TestListener - ===== Suite finished: Regression Suite =====
2026-09-10 12:45:59 [main] INFO  com.framework.listeners.ExtentReportManager - Extent report flushed.
